meal_id,meal_name,protein_type,diet_type,calories,protein_g,carbs_g,fat_g,ingredients,tags,price_estimate
1,Grilled Lemon Chicken Bowl,Chicken,Omnivore,520,42,45,18,"chicken breast, lemon, olive oil, brown rice, broccoli","high-protein,balanced",14
2,Garlic Shrimp Quinoa,Seafood,Omnivore,480,38,40,16,"shrimp, garlic, quinoa, spinach","lean,high-protein",15
3,Paneer Tikka Masala,Paneer,Vegetarian,560,32,38,28,"paneer, tomato, spices, cream","vegetarian,indian",14
4,Tofu Stir Fry,Tofu,Vegan,450,30,42,14,"tofu, bell peppers, soy sauce, sesame oil","vegan,plant-based",13
5,Turkey Meatballs with Zoodles,Turkey,Omnivore,430,40,20,18,"ground turkey, zucchini, tomato sauce","low-carb,high-protein",14
6,Salmon with Roasted Veggies,Seafood,Omnivore,540,36,28,26,"salmon, olive oil, carrots, asparagus","omega-3,balanced",16
7,Chickpea & Spinach Curry,Legumes,Vegan,470,22,55,14,"chickpeas, spinach, spices","vegan,high-fiber",12
8,Beef Stir Fry with Brown Rice,Beef,Omnivore,600,44,50,22,"beef, brown rice, soy sauce, vegetables","high-protein,comfort",15
9,Greek Yogurt Chicken,Chicken,Omnivore,510,45,30,20,"chicken, greek yogurt, spices","lean,high-protein",14
10,Lentil Dal with Basmati Rice,Legumes,Vegan,490,24,60,10,"lentils, spices, basmati rice","vegan,indian",12
11,Eggplant Parmesan,Eggplant,Vegetarian,550,28,45,26,"eggplant, tomato sauce, cheese","vegetarian,comfort",13
12,Chicken Fajita Bowl,Chicken,Omnivore,530,40,48,18,"chicken, peppers, rice, spices","balanced,latin",14
13,Baked Cod with Sweet Potato,Seafood,Omnivore,470,38,42,12,"cod, sweet potato, olive oil","lean,balanced",15
14,Tempeh Power Bowl,Tempeh,Vegan,500,34,45,18,"tempeh, quinoa, greens","vegan,high-protein",13
15,Butter Chicken (Light),Chicken,Omnivore,580,42,40,24,"chicken, tomato, light cream","indian,comfort",15
